commande_id,client_id,festival_id,nom_festival,destination,country,genre_musical_prefere,date_commande,date_envoi_devis,référence_devis__,Nb_relances_devis,date_acceptation_devis,date_de_dernière_relance,date_validité_devis,Nb_relances_paiement,date_de_paiement,date_festival_start,date_festival_end,status_reservation,proposition_IA_personnalisée,proposition_acceptée,nb_festivaliers,ville_residence_client,type_transport,Ville_départ,Date_départ_transport,type_hebergement,Adresse_hébergement,activités_supplémentaires,nb_commandes_client,motif_refus,delai_acceptation,delai_avant_festival,distance_km,note_satisfaction,atmosphere,ticket_type,currency,price_tier_1,price_tier_2,price_tier_3,DEVIS_ACCEPTE,DEVIS_REFUSE,DEVIS_ABANDONNE,Taux_devis_accepté,taux_devis_reffusé,taux_devis_abandonné,taux_acceptation_IA,nb_commandes (from nom_festival),contacts_mail,contact_tel_client,adresse_postale_client,deadline_paiement_acompte,stripe_paiement,date_acceptation,date_paiement,facture_envoyee,last_action,adresse_hebergement,adresse_postale,prix_ticket_HT,prix_ticket_total_HT,prix_ticket_TTC,Prix_transport_HT,Prix_transport_total_HT,prix_transport_TTC,prix_hebergement_TTC,Prix_herbergement_HT,Prix_hebergement_total_HT,prix_activité supplémentaire_HT,prix_activité supplémentaire_TTC,prix_activité_supp_totales_HT,Montant Total HT,Montant_total_TTC,Montant TVA ,pourcentage_acompte,Montant_acompte,marge ,nom2,prénom2,sexe
C90203,C16179,F47,Tomorrowland,Stephensmouth,Iceland,EDM,2025-03-13 00:00,2025-03-18 00:00,149.53894429,2.0,4/14/2025,7/17/2025,2025-04-17 00:00,1.0,2025-04-02 00:00,2025-07-13 00:00,2025-07-13 00:00,abandonnée,checked,checked,19186,Paris,bus,Paris,2025-07-12 00:00,hôtel,"30 Place de la Liberté, Stephensmouth",plage,1,Non concerné,10,112,1314.02504683,5,Forest rave,Backstage Pass,GBP,140.37563845,272.47144662,572.90358386,0,0,0,0,0,0,0.93619408,1.0,theoletullier@gmail.com,+33 6 23 17 12 19,"29 Rue de la Musique, Stephensmouth, Iceland",2025-04-06 00:00,FR76 3000 6000 0112 3456 7890 189,2025-03-23 00:00,2025-03-23 00:00,,7/17/2025 4:28pm,"64, avenue de Andre, Stephensmouth","404, boulevard Lorraine Martel, 85094 Rivière-sur-Mer",98,98,117.5,25,25,29.7,126.6,105,105,16,19.2,16,305,366,61,30%,110,40,Leroy,Gabriel,Homme
C70654,C84778,F38,Time Warp,Elizabethberg,Italy,House,2025-02-08 00:00,2025-02-12 00:00,423.56474727,1.0,,7/17/2025,2025-03-14 00:00,,,2025-07-18 00:00,2025-07-22 00:00,acceptée,checked,checked,37648,Lyon,train,Lyon,2025-07-17 00:00,van,"22 Rue de la Musique, Elizabethberg",spa,3,Document manquant,7,153,144.32869560,3,Forest rave,VIP,GBP,135.47721775,290.64007365,545.21149392,0,0,0,0,0,0,0.51459535,1.0,theoletullier@gmail.com,+33 6 78 63 94 36,"10 Rue de la Musique, Elizabethberg, Italy",2025-03-01 00:00,FR76 3000 6000 0112 3456 7890 189,,,,7/17/2025 3:40pm,"chemin de Mace, Elizabethberg","81, avenue Chantal Fernandez, 53513 Fischer-la-Forêt",131,393,157.1,8,25,10.1,158.4,132,396,183,220.1,550,1660,1992,332,30%,598,217,Dubois,Gabriel,Homme
C83939,C49209,F4,Tomorrowland,New Alanville,USA,Techno,2025-02-02 00:00,2025-02-04 00:00,180.62855774,2.0,5/30/2025,7/17/2025,2025-03-06 00:00,3.0,2025-02-11 00:00,2025-06-11 00:00,2025-06-13 00:00,acceptée,checked,accepted,22025,Paris,train,Paris,2025-06-10 00:00,camping,"25 Rue de la Musique, New Alanville",équitation,1,Non concerné,7,122,766.00000000,4,One-stage intimate,Camping Pass,USD,65.00000000,231.00000000,469.00000000,1,0,0,1,0,0,1.00000000,1.0,theoletullier@gmail.com,+33 6 87 97 30 22,"49 Boulevard des Artistes, New Alanville, USA",2025-02-23 00:00,FR76 3000 6000 0112 3456 7890 189,2025-02-09 00:00,2025-02-23 00:00,,7/17/2025 3:09pm,"3, chemin Christiane Thomas, New Alanville","839, rue Anne Delannoy, 76267 Sainte Christiane",128,128,153.0,82,82,98.8,113.5,95,95,115,137.5,115,504,604,101,30%,181,66,Dubois,Camille,Femme
C37426,C64835,F47,Garorock,Keychester,Thailand,EDM,2025-03-20 00:00,2025-03-24 00:00,958.90834852,3.0,,7/17/2025,2025-04-23 00:00,,,2025-06-08 00:00,2025-06-10 00:00,acceptée,checked,checked,28254,Lille,bus,Lille,2025-06-07 00:00,camping,"54 Place de la Liberté, Keychester",plage,1,Budget insuffisant,7,73,313.65267476,5,Multi-stage,General Admission,USD,125.83715884,227.69092490,569.62427025,0,0,0,0,0,0,0.70616868,1.0,theoletullier@gmail.com,+33 6 93 58 22 74,"94 Place de la Liberté, Keychester, Thailand",2025-04-10 00:00,FR76 3000 6000 0112 3456 7890 189,,,,7/17/2025 3:47pm,"avenue Augustin Michaud, Keychester","rue Gautier, 08399 Pierre-sur-Gilbert",116,116,139.2,37,37,44.4,197.6,165,165,202,242.8,202,636,763,127,30%,229,83,Bernard,Zoé,Femme
C16079,C80679,F41,No Sleep Festival,West Christinaborough,Thailand,EDM,2025-02-18 00:00,2025-02-23 00:00,433.44209992,3.0,3/24/2025,7/17/2025,2025-03-25 00:00,3.0,2025-03-13 00:00,2025-06-11 00:00,2025-06-11 00:00,acceptée,checked,checked,40318,Paris,voiture,Paris,2025-06-10 00:00,van,"12 Place de la Liberté, West Christinaborough",randonnée,1,Non concerné,10,103,1058.00000000,2,Multi-stage,Backstage Pass,GBP,110.00000000,288.00000000,307.00000000,1,0,0,1,0,0,1.00000000,1.0,theoletullier@gmail.com,+33 6 44 19 47 94,"14 Chemin du Soleil, West Christinaborough, Thailand",2025-03-14 00:00,FR76 3000 6000 0112 3456 7890 189,2025-02-28 00:00,2025-03-14 00:00,,7/17/2025 4:27pm,"62, boulevard de David, West Christinaborough","95, avenue de Mary, 07234 Saint Virginie",80,80,95.5,110,110,131.7,216.6,181,181,234,280.7,234,736,883,147,30%,265,96,Michel,Lucas,Homme
C49559,C33419,F37,We Are FSTVL,East Trevor,France,Techno,2025-02-16 00:00,2025-02-19 00:00,219.31647617,3.0,3/19/2025,7/17/2025,2025-03-21 00:00,3.0,2025-02-26 00:00,2025-07-09 00:00,2025-07-11 00:00,acceptée,checked,checked,26371,Bordeaux,train,Bordeaux,2025-07-08 00:00,hôtel,"44 Place de la Liberté, East Trevor",plage,3,Non concerné,5,138,183.00000000,5,Forest rave,General Admission,GBP,77.00000000,272.00000000,328.00000000,1,0,0,1,0,0,1.00000000,1.0,theoletullier@gmail.com,+33 6 91 62 23 68,"40 Avenue des Festivals, East Trevor, France",2025-03-07 00:00,FR76 3000 6000 0112 3456 7890 189,2025-02-21 00:00,2025-03-06 00:00,,7/17/2025 4:28pm,"38, rue Fouquet, East Trevor","2, avenue de Rousseau, 69254 Saint Luce",80,239,95.6,46,137,54.7,171.5,143,429,184,221.2,553,1660,1992,332,30%,597,216,David,Nathan,Homme
C25380,C99445,F40,Tomorrowland,West Amandachester,Portugal,EDM,2025-02-15 00:00,2025-02-16 00:00,937.33552271,4.0,3/17/2025,7/17/2025,2025-03-18 00:00,1.0,2025-02-21 00:00,2025-06-07 00:00,2025-06-10 00:00,acceptée,checked,checked,14940,Bordeaux,avion,Bordeaux,2025-06-06 00:00,airbnb,"99 Rue de la Musique, West Amandachester",rafting,1,Non concerné,2,110,795.00000000,5,Forest rave,General Admission,GBP,140.00000000,284.00000000,455.00000000,1,0,0,1,0,0,1.00000000,1.0,theoletullier@gmail.com,+33 6 73 26 83 30,"91 Avenue des Festivals, West Amandachester, Portugal",2025-03-03 00:00,FR76 3000 6000 0112 3456 7890 189,2025-02-17 00:00,2025-03-01 00:00,,7/17/2025 4:29pm,"38, boulevard Roger, West Amandachester","89, rue Louis Hamel, 24789 Renault",72,72,85.8,196,196,235.4,348.6,291,291,72,86.2,72,791,950,158,30%,285,103,Dubois,Chloé,Femme
C20584,C12285,F4,Creamfields,New Alanville,USA,Techno,2025-02-09 00:00,2025-02-11 00:00,390.04275518,2.0,,7/17/2025,2025-03-13 00:00,,,2025-08-11 00:00,2025-08-12 00:00,refusée,no,checked,39041,Lyon,voiture,Lyon,2025-08-10 00:00,hôtel,"21 Rue de la Musique, New Alanville",plage,3,Disponibilité non confirmée,3,180,752.00000000,4,One-stage intimate,Camping Pass,USD,65.00000000,231.00000000,469.00000000,0,1,0,0,1,0,0.00000000,1.0,theoletullier@gmail.com,+33 6 86 62 55 56,"47 Chemin du Soleil, New Alanville, USA",2025-02-26 00:00,FR76 3000 6000 0112 3456 7890 189,,,,7/17/2025 2:45pm,"47, avenue Cécile Rossi, New Alanville","877, rue de Regnier, 29704 Loiseau-la-Forêt",139,417,166.6,86,259,103.4,207.3,173,518,122,146.0,365,1911,2293,382,30%,688,249,David,Emma,Femme
C70149,C39421,F45,Dimensions Festival,West Amandachester,Netherlands,EDM,2025-03-20 00:00,2025-03-24 00:00,163.67015428,4.0,3/17/2025,7/17/2025,2025-04-23 00:00,4.0,2025-04-08 00:00,2025-06-16 00:00,2025-06-19 00:00,acceptée,checked,accepted,46066,Paris,avion,Paris,2025-06-15 00:00,hôtel,"74 Avenue des Festivals, West Amandachester",plage,1,Non concerné,6,82,69.35188829,5,One-stage intimate,Camping Pass,GBP,97.15287958,193.86947761,476.76490449,0,0,0,0,0,0,0.69316449,1.0,theoletullier@gmail.com,+33 6 66 11 37 87,"96 Boulevard des Artistes, West Amandachester, Netherlands",2025-04-09 00:00,FR76 3000 6000 0112 3456 7890 189,2025-03-26 00:00,2025-03-29 00:00,,7/17/2025 2:46pm,"619, rue de Verdier, West Amandachester","50, rue Boulay, 06857 Bouchet",117,117,140.4,433,433,519.0,184.2,154,154,202,242.5,202,1076,1291,215,30%,387,140,Martin,Alice,Femme
C66737,C56110,F34,Garorock,Lake Jasonbury,Vietnam,Psytrance,2025-02-07 00:00,2025-02-10 00:00,790.54766601,2.0,3/10/2025,7/17/2025,2025-03-12 00:00,1.0,2025-02-25 00:00,2025-07-15 00:00,2025-07-15 00:00,acceptée,checked,accepted,16416,Bordeaux,avion,Bordeaux,2025-07-14 00:00,camping,"42 Boulevard des Artistes, Lake Jasonbury",spa,2,Non concerné,6,152,953.00000000,5,Desert gathering,Camping Pass,USD,58.00000000,237.00000000,593.00000000,1,0,0,1,0,0,0.37742207,1.0,theoletullier@gmail.com,+33 6 70 43 49 47,"52 Place de la Liberté, Lake Jasonbury, Vietnam",2025-02-27 00:00,FR76 3000 6000 0112 3456 7890 189,2025-02-13 00:00,2025-02-13 00:00,,7/17/2025 2:47pm,"619, rue de Nicolas, Lake Jasonbury","rue Alexandrie Bernier, 95013 Guillon-sur-Mer",126,251,150.8,255,509,305.4,262.8,219,438,39,47.3,79,1570,1883,314,30%,565,205,Moreau,Arthur,Homme
